model,bin_index,mean_predicted,fraction_won,calibration_gap,abs_gap
elo_baseline,1,0.39631247467610975,0.42028985507246375,0.023977380396353998,0.023977380396353998
elo_baseline,2,0.4537077473740447,0.4956521739130435,0.041944426538998825,0.041944426538998825
elo_baseline,3,0.47922703024517754,0.46511627906976744,-0.014110751175410108,0.014110751175410108
elo_baseline,4,0.4988558988844544,0.518840579710145,0.01998468082569055,0.01998468082569055
elo_baseline,5,0.5162826848940875,0.5797101449275363,0.06342746003344879,0.06342746003344879
elo_baseline,6,0.5322245068522053,0.5523255813953488,0.02010107454314347,0.02010107454314347
elo_baseline,7,0.5475180869867909,0.5623188405797102,0.014800753592919214,0.014800753592919214
elo_baseline,8,0.5644180480748141,0.561046511627907,-0.0033715364469071307,0.0033715364469071307
elo_baseline,9,0.5908537250189425,0.5507246376811594,-0.04012908733778309,0.04012908733778309
elo_baseline,10,0.6459617104656595,0.6782608695652174,0.03229915909955783,0.03229915909955783
ensemble,1,0.3815485886136935,0.39710144927536234,0.015552860661668833,0.015552860661668833
ensemble,2,0.4452607533873866,0.4811594202898551,0.03589866690246851,0.03589866690246851
ensemble,3,0.47297653932496647,0.49709302325581395,0.024116483930847477,0.024116483930847477
ensemble,4,0.4945320177002959,0.5449275362318841,0.050395518531588135,0.050395518531588135
ensemble,5,0.5126354692729453,0.5130434782608696,0.00040800898792425766,0.00040800898792425766
ensemble,6,0.5305014778328352,0.5901162790697675,0.0596148012369323,0.0596148012369323
ensemble,7,0.5487546415952519,0.5391304347826087,-0.009624206812643199,0.009624206812643199
ensemble,8,0.5697749818879776,0.5843023255813954,0.014527343693417794,0.014527343693417794
ensemble,9,0.5992857209098257,0.5623188405797102,-0.036966880330115526,0.036966880330115526
ensemble,10,0.6592008665934342,0.6753623188405797,0.01616145224714549,0.01616145224714549
logistic_regression,1,0.38538410261595357,0.391304347826087,0.005920245210133401,0.005920245210133401
logistic_regression,2,0.4527005229956908,0.48985507246376814,0.037154549468077336,0.037154549468077336
logistic_regression,3,0.48243370219128134,0.4941860465116279,0.011752344320346553,0.011752344320346553
logistic_regression,4,0.5049045315628651,0.5739130434782609,0.06900851191539581,0.06900851191539581
logistic_regression,5,0.5246796203423142,0.5072463768115942,-0.017433243530719955,0.017433243530719955
logistic_regression,6,0.5437945854898236,0.5261627906976745,-0.017631794792149158,0.017631794792149158
logistic_regression,7,0.5636849249988384,0.5942028985507246,0.030517973551886235,0.030517973551886235
logistic_regression,8,0.5858760214871735,0.5784883720930233,-0.007387649394150264,0.007387649394150264
logistic_regression,9,0.6173988653517923,0.5652173913043478,-0.052181474047444554,0.052181474047444554
logistic_regression,10,0.6788933816825843,0.663768115942029,-0.015125265740555283,0.015125265740555283
skellam_poisson,1,0.3050579325867927,0.39710144927536234,0.09204351668856964,0.09204351668856964
skellam_poisson,2,0.39784753033959136,0.463768115942029,0.06592058560243763,0.06592058560243763
skellam_poisson,3,0.4405726081990403,0.5494186046511628,0.10884599645212245,0.10884599645212245
skellam_poisson,4,0.47465693655099417,0.5217391304347826,0.047082193883788426,0.047082193883788426
skellam_poisson,5,0.5046688333291641,0.518840579710145,0.014171746380980843,0.014171746380980843
skellam_poisson,6,0.5312567475203807,0.5465116279069767,0.01525488038659606,0.01525488038659606
skellam_poisson,7,0.5595871173465702,0.5855072463768116,0.025920129030241434,0.025920129030241434
skellam_poisson,8,0.5922736962799664,0.563953488372093,-0.028320207907873374,0.028320207907873374
skellam_poisson,9,0.6349514507309376,0.5478260869565217,-0.08712536377441593,0.08712536377441593
skellam_poisson,10,0.7204487927999369,0.6898550724637681,-0.030593720336168806,0.030593720336168806
xgboost,1,0.3719895187495411,0.4144927536231884,0.042503234873647266,0.042503234873647266
xgboost,2,0.45124596892923546,0.48405797101449277,0.03281200208525731,0.03281200208525731
xgboost,3,0.4822540953755379,0.4883720930232558,0.006117997647717921,0.006117997647717921
xgboost,4,0.5082994978496994,0.5420289855072464,0.03372948765754702,0.03372948765754702
xgboost,5,0.5286130801491116,0.5333333333333333,0.0047202531842217565,0.0047202531842217565
xgboost,6,0.5461969053329423,0.561046511627907,0.014849606294964679,0.014849606294964679
xgboost,7,0.5645910805550174,0.5710144927536231,0.00642341219860576,0.00642341219860576
xgboost,8,0.5888251695175504,0.5784883720930233,-0.010336797424527089,0.010336797424527089
xgboost,9,0.6188621809517127,0.5565217391304348,-0.06234044182127796,0.06234044182127796
xgboost,10,0.6793361078137937,0.6550724637681159,-0.024263644045677824,0.024263644045677824
