season,game_id,home_sp_id,away_sp_id
2015,413661,452657.0,425794.0
2015,413663,547888.0,571800.0
2015,413656,456034.0,461833.0
2015,413655,346798.0,452718.0
2015,413652,430935.0,453329.0
2015,413651,502042.0,501957.0
2015,413657,453286.0,112526.0
2015,413658,456501.0,434538.0
2015,413659,477132.0,448306.0
2015,413649,433587.0,450308.0
2015,413653,570649.0,502188.0
2015,413650,506693.0,527054.0
2015,413654,572971.0,446372.0
2015,413662,543243.0,451596.0
2015,413660,518567.0,518516.0
2015,413666,501992.0,612672.0
2015,413665,502009.0,622072.0
2015,413667,490063.0,543475.0
2015,413669,523989.0,285064.0
2015,413670,534910.0,407890.0
2015,413668,425844.0,475115.0
2015,413664,572020.0,450351.0
2015,413683,453562.0,458681.0
2015,413678,434671.0,445060.0
2015,413693,453562.0,458681.0
2015,413679,519455.0,594798.0
2015,413674,421685.0,519144.0
2015,413685,501381.0,285079.0
2015,413680,502190.0,543037.0
2015,413673,543606.0,456068.0
2015,413672,543408.0,571946.0
2015,413676,444857.0,471911.0
2015,413675,518633.0,500779.0
2015,413677,503449.0,572750.0
2015,413682,476451.0,518790.0
2015,413684,431148.0,446321.0
2015,413681,435221.0,488768.0
2015,413671,547874.0,533167.0
2015,413691,543101.0,150359.0
2015,413690,544931.0,518774.0
2015,413689,572888.0,502043.0
2015,413688,592879.0,545333.0
2015,413687,450172.0,433579.0
2015,413694,608665.0,607259.0
2015,413692,453178.0,218596.0
2015,413686,571527.0,475416.0
2015,413695,282332.0,596057.0
2015,413709,502032.0,279824.0
2015,413699,502706.0,543521.0
2015,413697,554431.0,475243.0
2015,413698,502083.0,430580.0
2015,413702,456051.0,543548.0
2015,413710,425532.0,461829.0
2015,413696,543135.0,489119.0
2015,413707,150302.0,407793.0
2015,413708,429717.0,544993.0
2015,413703,445590.0,477003.0
2015,413704,571666.0,502046.0
2015,413701,502624.0,474463.0
2015,413700,502327.0,450306.0
2015,413705,519141.0,592836.0
2015,413706,453344.0,453311.0
2015,413711,476589.0,523260.0
2015,413722,456501.0,608379.0
2015,413717,502188.0,460059.0
2015,413720,543243.0,457918.0
2015,413713,446372.0,456034.0
2015,413723,543054.0,502042.0
2015,413724,434622.0,592717.0
2015,413725,430935.0,450729.0
2015,413718,527054.0,518716.0
2015,413719,519076.0,474699.0
2015,413714,451596.0,433584.0
2015,413712,452718.0,434628.0
2015,413716,605151.0,477132.0
2015,413721,448306.0,518516.0
2015,413715,450308.0,425386.0
2015,413728,543334.0,543456.0
2015,413737,628452.0,593372.0
2015,413738,506693.0,501992.0
2015,413739,501957.0,571800.0
2015,413740,457711.0,453286.0
2015,413733,622072.0,112526.0
2015,413732,519242.0,461833.0
2015,413734,346798.0,594987.0
2015,413729,407890.0,572971.0
2015,413730,450351.0,570649.0
2015,413735,534910.0,433587.0
2015,413727,543475.0,543294.0
2015,413731,518567.0,425844.0
2015,413736,475115.0,408241.0
2015,413726,547888.0,453329.0
2015,413751,594798.0,421685.0
2015,413745,543037.0,434671.0
2015,413754,519144.0,519455.0
2015,413746,543507.0,518633.0
2015,413748,425794.0,490063.0
2015,413744,518790.0,572750.0
2015,413749,612672.0,501381.0
2015,413753,285079.0,543606.0
2015,413747,571946.0,502009.0
2015,413743,452657.0,502190.0
2015,413741,446321.0,533167.0
2015,413750,444857.0,431148.0
2015,413742,488768.0,523989.0
2015,413752,435221.0,572020.0
2015,413767,475416.0,544931.0
2015,413760,150359.0,572888.0
2015,413762,456068.0,282332.0
2015,413766,596057.0,542882.0
2015,413764,518774.0,571527.0
2015,413757,471911.0,500779.0
2015,413761,502239.0,543408.0
2015,413758,453562.0,543101.0
2015,413755,607259.0,607968.0
2015,413763,502748.0,608665.0
2015,413756,628333.0,476451.0
2015,413765,453307.0,547874.0
2015,413759,218596.0,548357.0
2015,413770,545333.0,433579.0
2015,413775,445590.0,429717.0
2015,413782,489119.0,461829.0
2015,413768,519168.0,502327.0
2015,413773,434538.0,430580.0
2015,413777,502032.0,543135.0
2015,413781,279824.0,541640.0
2015,413779,477003.0,425532.0
2015,413771,475243.0,150302.0
2015,413778,543521.0,519141.0
2015,413774,502043.0,450172.0
2015,413776,458681.0,503449.0
2015,413769,453344.0,502624.0
2015,413780,474463.0,592836.0
2015,413772,453311.0,554431.0
2015,413784,543548.0,450306.0
2015,413786,407793.0,571666.0
2015,413787,450729.0,430935.0
2015,413788,592717.0,502042.0
2015,413785,518716.0,543054.0
2015,413783,518516.0,605151.0
2015,413793,456034.0,502188.0
2015,413802,434628.0,448306.0
2015,413801,453286.0,457711.0
2015,413798,474699.0,519076.0
2015,413791,571800.0,527054.0
2015,413792,523260.0,434622.0
2015,413797,112526.0,475479.0
2015,413799,501992.0,476589.0
2015,413789,433584.0,450308.0
2015,413800,425386.0,543243.0
2015,413795,460059.0,446372.0
2015,413794,608379.0,456501.0
2015,413796,477132.0,452718.0
2015,413803,457918.0,451596.0
2015,413790,408241.0,518567.0
2015,413816,519455.0,421685.0
2015,413806,285079.0,622072.0
2015,413808,434671.0,519242.0
2015,413810,461833.0,517593.0
2015,413809,593372.0,456701.0
2015,413817,543294.0,475115.0
2015,413807,453329.0,501957.0
2015,413813,502046.0,346798.0
2015,413804,572971.0,450351.0
2015,413815,570649.0,534910.0
2015,413812,594798.0,502009.0
2015,413814,543606.0,547888.0
2015,413805,518790.0,523989.0
2015,413811,425844.0,543475.0
2015,413818,433587.0,407890.0
2015,413821,596057.0,571946.0
2015,413823,572888.0,500779.0
2015,413827,518774.0,543408.0
2015,413829,542882.0,501381.0
2015,413822,519144.0,456068.0
2015,413831,544931.0,571527.0
2015,413828,543037.0,490063.0
2015,413819,444857.0,572070.0
2015,413830,518633.0,431148.0
2015,413825,543507.0,543334.0
2015,413832,452657.0,488768.0
2015,413820,218596.0,476451.0
2015,413826,435221.0,572750.0
2015,413833,572020.0,446321.0
2015,413824,425794.0,502190.0
2015,413834,475416.0,612672.0
2015,413835,150359.0,453562.0
2015,413840,430580.0,282332.0
2015,413836,503449.0,543101.0
2015,413839,450172.0,502043.0
2015,413837,433579.0,545333.0
2015,413842,407822.0,628333.0
2015,413841,533167.0,608665.0
