model,mean_predicted,fraction_won
elo_baseline,0.39981231542548906,0.4038876889848812
elo_baseline,0.4539250584117376,0.5010799136069114
elo_baseline,0.4786951373669254,0.46652267818574517
elo_baseline,0.4985486875506994,0.5269978401727862
elo_baseline,0.5161906153922368,0.5572354211663066
elo_baseline,0.5317194774937477,0.550755939524838
elo_baseline,0.5476875027521995,0.5615550755939525
elo_baseline,0.5650981341278458,0.5701943844492441
elo_baseline,0.5905623334638926,0.5701943844492441
elo_baseline,0.6433955617321887,0.6479481641468683
logistic_regression,0.38711208540675657,0.38444924406047515
logistic_regression,0.4511196237967185,0.4816414686825054
logistic_regression,0.481694609781219,0.5075593952483801
logistic_regression,0.5043867966573142,0.550755939524838
logistic_regression,0.5247209020999987,0.5010799136069114
logistic_regression,0.5442380365367152,0.5334773218142549
logistic_regression,0.5649822608848197,0.593952483801296
logistic_regression,0.5874747560844549,0.5680345572354212
logistic_regression,0.618599609409346,0.5593952483801296
logistic_regression,0.6774516894808262,0.6760259179265659
xgboost,0.39322768953140047,0.41252699784017277
xgboost,0.4553570607053538,0.4773218142548596
xgboost,0.4835509681675913,0.5010799136069114
xgboost,0.5062239285936624,0.5356371490280778
xgboost,0.5265068778723929,0.48596112311015116
xgboost,0.5448124388124207,0.5874730021598272
xgboost,0.5650908648324064,0.550755939524838
xgboost,0.5879571069651495,0.5896328293736501
xgboost,0.6152200661519176,0.5658747300215983
xgboost,0.666230498457058,0.6501079913606912
ensemble,0.38373724129045217,0.39092872570194387
ensemble,0.44386905783427033,0.4794816414686825
ensemble,0.47233409818197164,0.5032397408207343
ensemble,0.49386745157160844,0.5291576673866091
ensemble,0.5125801494929874,0.5075593952483801
ensemble,0.5310164184628449,0.5809935205183585
ensemble,0.5499598643075907,0.5485961123110151
ensemble,0.5712864130838228,0.5831533477321814
ensemble,0.6001212247607557,0.5464362850971922
ensemble,0.657329375352469,0.6868250539956804
skellam_poisson,0.3095492188537838,0.4017278617710583
skellam_poisson,0.3973533596170258,0.46436285097192226
skellam_poisson,0.44016680716587875,0.531317494600432
skellam_poisson,0.47395926149540774,0.5118790496760259
skellam_poisson,0.5042652434917932,0.5161987041036717
skellam_poisson,0.5315822045951613,0.5680345572354212
skellam_poisson,0.5608182207675992,0.5529157667386609
skellam_poisson,0.5934876226671644,0.5809935205183585
skellam_poisson,0.6353255592357422,0.5421166306695464
skellam_poisson,0.7168078643596653,0.6868250539956804
